fid,lat,lon
1,35.49466989,91.85051111
2,35.49471443,91.85100601
3,35.49493532,91.85156708
4,35.49528035,91.85191143
5,35.4956144,91.85223498
6,35.49600809,91.85283649
7,35.49615858,91.85342366
8,35.49613755,91.85412645
9,35.49621962,91.8548671
10,35.49613127,91.85539337
11,35.49595144,91.85604648
12,35.49581027,91.85660605
13,35.49563065,91.8572621
14,35.4954967,91.8579283
15,35.49537826,91.85864567
16,35.49515662,91.85922062
17,35.49482768,91.85952466
18,35.49431288,91.859711
19,35.49391817,91.85982088
20,35.49323434,91.85981433
21,35.49276415,91.85980452
22,35.49227744,91.85967589
23,35.49166754,91.8594483
24,35.4912111,91.85932878
25,35.4905732,91.85895213
26,35.4902142,91.8588159
27,35.48995521,91.85887447
28,35.48973348,91.85893193
29,35.48947613,91.85880967
30,35.48904289,91.85845605
31,35.48863061,91.85822606
32,35.48842024,91.85811427
33,35.48802228,91.85794549
34,35.48761706,91.85787157
35,35.4860258,91.85778338
36,35.48446545,91.85760449
37,35.48362552,91.85752815
38,35.48279633,91.85729005
39,35.48213582,91.85724038
40,35.48095245,91.85716734
41,35.48001085,91.85733361
42,35.4781923,91.85759261
43,35.4772146,91.85763206
44,35.47553753,91.85920974
45,35.47307453,91.8581072
46,35.47248371,91.85375838
47,35.47289485,91.84821293
48,35.47360622,91.84539269
49,35.4741864,91.84423753
50,35.47474599,91.84280753
51,35.4748289,91.84085682
52,35.47450702,91.83926242
53,35.47404579,91.8372141
54,35.47356806,91.83557709
55,35.47329884,91.83460788
56,35.47328402,91.8331314
57,35.47334594,91.8311363
58,35.4735538,91.82909032
59,35.47400675,91.82722849
60,35.47445056,91.826431
61,35.47479,91.82576909
62,35.47518296,91.82458382
63,35.47532148,91.82313688
64,35.47522897,91.82152257
65,35.47429219,91.81768878
66,35.47381339,91.81263393
67,35.47694356,91.81541167
68,35.47788735,91.8173398
69,35.47940901,91.81990626
70,35.48086444,91.82100612
71,35.48264673,91.82121844
72,35.48283442,91.82301173
73,35.4833706,91.82398786
74,35.48399774,91.82475431
75,35.4847844,91.8253677
76,35.48519459,91.82684779
77,35.48562638,91.82795876
78,35.48645989,91.82988073
79,35.48681773,91.83121263
80,35.48679319,91.83227209
81,35.48706759,91.8332597
82,35.48766353,91.83415831
83,35.48856117,91.83580811
84,35.48969421,91.83693845
85,35.49068561,91.83718419
86,35.49122631,91.83799772
87,35.49227568,91.83900843
88,35.49308044,91.84038866
89,35.49406913,91.84149343
90,35.49484044,91.84171541
91,35.49579725,91.84211383
92,35.4966249,91.84275105
93,35.49688895,91.84329801
94,35.49687982,91.8439636
95,35.49682431,91.84524918
96,35.49679723,91.84601741
97,35.496733,91.84700959
98,35.4965147,91.84784455
99,35.49624737,91.84841515
100,35.49589019,91.84917632
101,35.49543028,91.84959277
102,35.49492387,91.84985207
103,35.49466989,91.85051111
