2025-01-20 18:22:13,898| mywadl.survey             |    INFO| WADL Survey Planner
2025-01-20 18:22:13,899| mywadl.lib.fence          |    INFO| Reading coordinate file ZhuonaiLake.csv
2025-01-20 18:22:13,905| mywadl.lib.fence          |    INFO| extends in meters 4306.971551100782 by 2717.917016902473
2025-01-20 18:22:14,007| mywadl.lib.maze           |    INFO| generated maze with 678 nodes
2025-01-20 18:22:14,010| mywadl.solver.metaGraph   |   DEBUG| found a non connected section
2025-01-20 18:22:14,011| mywadl.solver.metaGraph   |   DEBUG| number of graphs before merge 73
2025-01-20 18:22:14,011| mywadl.solver.metaGraph   |   DEBUG| gIdx counter at 73
2025-01-20 18:22:14,011| mywadl.solver.metaGraph   |   DEBUG| toMerge keys [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]
2025-01-20 18:22:14,011| mywadl.solver.metaGraph   |   DEBUG| merged keys[]
2025-01-20 18:22:14,011| mywadl.solver.metaGraph   |   DEBUG| toMerge keys [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72]
2025-01-20 18:22:14,011| mywadl.solver.metaGraph   |   DEBUG| merged keys[]
2025-01-20 18:22:14,011| mywadl.solver.metaGraph   |   DEBUG| sizes 678 + 0 = 678
2025-01-20 18:22:14,011| mywadl.solver.metaGraph   |   DEBUG| mergeing 72 of size 2
2025-01-20 18:22:14,011| mywadl.solver.metaGraph   |   DEBUG| merge scores for 72: dict_items([(65, 1), (71, 2)])
2025-01-20 18:22:14,011| mywadl.solver.metaGraph   |   DEBUG| merging subg 72 into 71
2025-01-20 18:22:14,011| mywadl.solver.metaGraph   |   DEBUG| updating small graph 71
2025-01-20 18:22:14,011| mywadl.solver.metaGraph   |   DEBUG| 71: 8=>10
2025-01-20 18:22:14,012| mywadl.solver.metaGraph   |   DEBUG| toMerge keys [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71]
2025-01-20 18:22:14,012| mywadl.solver.metaGraph   |   DEBUG| merged keys[]
2025-01-20 18:22:14,012| mywadl.solver.metaGraph   |   DEBUG| sizes 678 + 0 = 678
2025-01-20 18:22:14,012| mywadl.solver.metaGraph   |   DEBUG| mergeing 71 of size 10
2025-01-20 18:22:14,012| mywadl.solver.metaGraph   |   DEBUG| merge scores for 71: dict_items([(64, 3), (70, 2), (65, 1)])
2025-01-20 18:22:14,012| mywadl.solver.metaGraph   |   DEBUG| merging subg 71 into 64
2025-01-20 18:22:14,012| mywadl.solver.metaGraph   |   DEBUG| new graph 64
2025-01-20 18:22:14,012| mywadl.solver.metaGraph   |   DEBUG| 64: 12=>22
